                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4797,                 4.3687,                 1.3215,                0.00069,                0.20204,                0.03785,                0.02443,                 1.1546,                 4.2496,                  1.243,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.1103,                 2.8767,                 1.0959,                0.00254,                0.70328,                0.21567,                0.12422,                 1.1297,                 3.6839,                 1.0517,             0.00079604,             0.00079604,             0.00079604
                      3,                 1.1143,                 2.5648,                 1.1235,                0.34337,                 0.0763,                0.40471,                0.27129,                 1.1185,                 3.0665,                 1.1036,              0.0010695,              0.0010695,              0.0010695
                      4,                 1.1212,                 2.3453,                 1.1169,                0.44073,                0.56924,                0.46737,                0.31507,                 1.1845,                 2.4087,                 1.1214,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.0326,                 2.1251,                 1.0573,                0.41853,                0.70009,                0.50127,                0.35035,                  1.043,                 1.8647,                   1.05,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.0317,                 2.0144,                 1.0805,                0.45844,                0.79059,                0.51982,                0.38256,                 1.0043,                 1.7057,                 1.0174,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.0174,                 1.8213,                  1.053,                0.44997,                0.74996,                0.50708,                0.34597,                 1.1469,                  1.891,                  1.072,             0.00084184,             0.00084184,             0.00084184
                      8,                 0.9725,                 1.7375,                 1.0338,                0.49255,                 0.7336,                0.54177,                0.39738,                 0.9868,                 1.6364,                 1.0076,              0.0006768,              0.0006768,              0.0006768
                      9,                0.94961,                 1.5998,                 1.0207,                0.48024,                0.78273,                0.51808,                0.37124,                0.97384,                 1.5634,                 1.0061,             0.00051177,             0.00051177,             0.00051177
                     10,                0.90238,                 1.5494,                0.99838,                0.49691,                0.74978,                0.56791,                0.42184,                0.94307,                 1.5132,                 0.9978,             0.00034674,             0.00034674,             0.00034674
